raw_name,taxon_name,level_1,level_2
Abies,abies,Abies,Abies
Abies alba,abies_alba,Abies,Abies
Abies undiff.,abies_undiff,Abies,Abies
Acacia,acacia,Acacia,Acacia
Acanthus,acanthus,Acanthus,Acanthaceae
Acer,acer,Acer campestre-type,Acer
Acer campestre,acer_campestre,Acer campestre-type,Acer
Acer campestre-type,acer_campestre_type,Acer campestre-type,Acer
Acer negundo,acer_negundo,Acer negundo,Acer
Acer platanoides,acer_platanoides,Acer campestre-type,Acer
Acer undiff.,acer_undiff,Acer campestre-type,Acer
Achillea,achillea,Matricaria-type,Compositae subfam. Asteroideae
Achillea-type,achillea_type,Matricaria-type,Compositae subfam. Asteroideae
Achillea erba-rotta subsp. moschata,achillea_erba_minus_rotta_subsp_moschata,Matricaria-type,Compositae subfam. Asteroideae
Aconitum,aconitum,Aconitum,Aconitum
Aconitum-type,aconitum_type,Aconitum,Aconitum
Aconitum (excluding A. napellus),aconitum_excluding_a_napellus,Aconitum,Aconitum
Aconitum lycoctonum subsp. septentrionale,aconitum_lycoctonum_subsp_septentrionale,Aconitum,Aconitum
Aconitum napellus-type,aconitum_napellus_type,Aconitum,Aconitum
Actaea spicata,actaea_spicata,Actaea,Actaea
Adenostyles,adenostyles,Senecio-type,Compositae subfam. Asteroideae
Adenostyles alliariae,adenostyles_alliariae,Senecio-type,Compositae subfam. Asteroideae
Adonis,adonis,Adonis,Adonis
Adonis-type,adonis_type,Adonis,Adonis
Adonis aestivalis,adonis_aestivalis,Adonis aestivalis-type,Adonis
Adonis aestivalis-type,adonis_aestivalis_type,Adonis aestivalis-type,Adonis
Adoxa,adoxa,Adoxa moschatellina,Adoxa moschatellina
Adoxa moschatellina,adoxa_moschatellina,Adoxa moschatellina,Adoxa moschatellina
Aesculus,aesculus,Aesculus,Aesculus
Aesculus hippocastanum,aesculus_hippocastanum,Aesculus hippocastanum,Aesculus
Aethusa cynapium,aethusa_cynapium,Aethusa cynapium,Apiaceae
Aethusa cynapium-type,aethusa_cynapium_type,Aethusa cynapium,Apiaceae
Agrimonia,agrimonia,Agrimonia/Aremonia,Agrimonia/Aremonia
Agrimonia-type,agrimonia_type,Agrimonia/Aremonia,Agrimonia/Aremonia
Agrimonia eupatoria-type,agrimonia_eupatoria_type,Agrimonia/Aremonia,Agrimonia/Aremonia
Agropyron-type,agropyron_type,Hordeum-type,Poaceae
Agrostemma,agrostemma,Agrostemma githago,Caryophyllaceae (periporate excl. Paronychioideae)
Agrostemma-type,agrostemma_type,Agrostemma githago,Caryophyllaceae (periporate excl. Paronychioideae)
Agrostemma githago,agrostemma_githago,Agrostemma githago,Caryophyllaceae (periporate excl. Paronychioideae)
Ailanthus,ailanthus,Apiaceae,Apiaceae
Alchemilla,alchemilla,Alchemilla,Alchemilla/Aphanes
Alchemilla-type,alchemilla_type,Alchemilla/Aphanes,Alchemilla/Aphanes
Alchemilla cf. A. glabra,alchemilla_cf_a_glabra,Alchemilla,Alchemilla/Aphanes
Alchemilla pentaphyllea,alchemilla_pentaphyllea,Alchemilla,Alchemilla/Aphanes
Alchemilla/Aphanes,alchemilla_aphanes,Alchemilla/Aphanes,Alchemilla/Aphanes
Alkanna,alkanna,Alkanna-type,Alkanna-type
Allium,allium,Allium-type,Liliaceae-type
Allium-type,allium_type,Allium-type,Liliaceae-type
Allium ursinum-type,allium_ursinum_type,Allium ursinum-type,Liliaceae-type
Allium vineale-type,allium_vineale_type,Allium vineale-type,Liliaceae-type
Alnus,alnus,Alnus glutinosa-type,Alnus
Alnus (excluding A. viridis),alnus_excluding_a_viridis,Alnus glutinosa-type,Alnus
"Alnus (shrub, pale shallow pores)",alnus_shrub_pale_shallow_pores,Alnus glutinosa-type,Alnus
"Alnus (tree, robust deep pores)",alnus_tree_robust_deep_pores,Alnus glutinosa-type,Alnus
Alnus glutinosa,alnus_glutinosa,Alnus glutinosa-type,Alnus
Alnus glutinosa-type,alnus_glutinosa_type,Alnus glutinosa-type,Alnus
Alnus glutinosa/A. incana,alnus_glutinosa_a_incana,Alnus glutinosa-type,Alnus
Alnus incana,alnus_incana,Alnus glutinosa-type,Alnus
Alnus incana-type,alnus_incana_type,Alnus glutinosa-type,Alnus
Alnus subg. Alnobetula,alnus_subg_alnobetula,Alnus viridis,Alnus
Alnus undiff.,alnus_undiff,Alnus,Alnus
Alnus viridis,alnus_viridis,Alnus viridis,Alnus
Alnus viridis-type,alnus_viridis_type,Alnus viridis,Alnus
Alnus viridis subsp. fruticosa,alnus_viridis_subsp_fruticosa,Alnus viridis,Alnus
Amaranthaceae,amaranthaceae,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Amaranthaceae-type,amaranthaceae_type,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Amaranthus,amaranthus,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Ambrosia,ambrosia,Ambrosia,Ambrosia/Xanthium
Ambrosia-type,ambrosia_type,Ambrosia/Xanthium,Ambrosia/Xanthium
Ammi,ammi,Apiaceae,Apiaceae
Ammi-type,ammi_type,Apiaceae,Apiaceae
Amygdaloideae,amygdaloideae,Amygdaloideae,Rosaceae (non-operculate)
Anagallis,anagallis,Anagallis,Anagallis-type
Anagallis-type,anagallis_type,Anagallis-type,Anagallis-type
Anagallis arvensis,anagallis_arvensis,Anagallis arvensis-type,Anagallis-type
Anagallis cf. A. arvensis,anagallis_cf_a_arvensis,Anagallis arvensis-type,Anagallis-type
Anagallis cf. A. tenella,anagallis_cf_a_tenella,Anagallis tenella-type,Anagallis-type
Anagallis tenella,anagallis_tenella,Anagallis tenella-type,Anagallis-type
Anarrhinum,anarrhinum,Anarrhinum bellidifolium,Anarrhinum bellidifolium
Anchusa,anchusa,Anchusa arvensis-type,Anchusa arvensis-type
Anchusa-type,anchusa_type,Anchusa/Pulmonaria,Boraginaceae
Andromeda,andromeda,Andromeda polifolia,Ericales (tetrads)
Andromeda polifolia,andromeda_polifolia,Andromeda polifolia,Ericales (tetrads)
Androsace,androsace,Androsace,Androsace
Androsace-type,androsace_type,Androsace,Androsace
Androsace alpina-type,androsace_alpina_type,Androsace elongata-type,Androsace
Androsace elongata-type,androsace_elongata_type,Androsace elongata-type,Androsace
Anemone,anemone,Anemone nemorosa-type,Ranunculus-type
Anemone-type,anemone_type,Anemone nemorosa-type,Ranunculus-type
Anemone alpina,anemone_alpina,Pulsatilla,Ranunculus-type
Anemone hortensis-type,anemone_hortensis_type,Anemone nemorosa-type,Ranunculus-type
Anemone nemorosa,anemone_nemorosa,Anemone nemorosa-type,Ranunculus-type
Anemone nemorosa-type,anemone_nemorosa_type,Anemone nemorosa-type,Ranunculus-type
Anemone nemorosa group,anemone_nemorosa_group,Anemone nemorosa-type,Ranunculus-type
Anemone sect. Hepatica,anemone_sect_hepatica,Hepatica,Hepatica
Anemone sect. Pulsatilla,anemone_sect_pulsatilla,Pulsatilla,Ranunculus-type
Anemone sect. Pulsatilla-type,anemone_sect_pulsatilla_type,Pulsatilla,Ranunculus-type
Anemone subg. Anemone,anemone_subg_anemone,Ranunculus-type,Ranunculus-type
Anethum-type,anethum_type,Falcaria-type,Apiaceae
Angelica-type,angelica_type,Apiaceae,Apiaceae
Angelica archangelica-type,angelica_archangelica_type,Angelica archangelica,Apiaceae
Angelica palustris-type,angelica_palustris_type,Angelica palustris,Apiaceae
Angelica sylvestris,angelica_sylvestris,Peucedanum-type,Apiaceae
Angiospermae undiff. (herbs),angiospermae_undiff_herbs,Angiospermae undiff. (herbs),Angiospermae undiff. (herbs)
Antennaria-type,antennaria_type,Antennaria-type,Compositae subfam. Asteroideae
Anthemideae,anthemideae,Matricaria-type,Compositae subfam. Asteroideae
Anthemis,anthemis,Matricaria-type,Compositae subfam. Asteroideae
Anthemis-type,anthemis_type,Matricaria-type,Compositae subfam. Asteroideae
Anthemis-type (small),anthemis_type_small,Matricaria-type,Compositae subfam. Asteroideae
Anthemis arvensis-type,anthemis_arvensis_type,Matricaria-type,Compositae subfam. Asteroideae
Anthericum,anthericum,Anthericum,Liliaceae-type
Anthericum-type,anthericum_type,Anthericum,Liliaceae-type
Anthoxanthum,anthoxanthum,Poaceae,Poaceae
Anthriscus,anthriscus,Apiaceae,Apiaceae
Anthriscus-type,anthriscus_type,Apiaceae,Apiaceae
Anthriscus sylvestris,anthriscus_sylvestris,Anthriscus sylvestris-type,Apiaceae
Anthriscus sylvestris-type,anthriscus_sylvestris_type,Anthriscus sylvestris-type,Apiaceae
Anthyllis,anthyllis,Anthyllis,Anthyllis
Anthyllis vulneraria,anthyllis_vulneraria,Anthyllis,Anthyllis
Aphanes,aphanes,Aphanes,Alchemilla/Aphanes
Aphanes-type,aphanes_type,Alchemilla/Aphanes,Alchemilla/Aphanes
Aphanes arvensis-type,aphanes_arvensis_type,Aphanes,Alchemilla/Aphanes
Apiaceae,apiaceae,Apiaceae,Apiaceae
Apiaceae undiff,apiaceae_undiff,Apiaceae,Apiaceae
Apium,apium,Apium,Apiaceae
Apium-type,apium_type,Apiaceae,Apiaceae
Apium inundatum-type,apium_inundatum_type,Apium,Apiaceae
Apium nodiflorum,apium_nodiflorum,Apium nodiflorum,Apiaceae
Aquilegia,aquilegia,Aquilegia,Caltha-type
Aquilegia-type,aquilegia_type,Aquilegia,Caltha-type
Araliaceae undiff.,araliaceae_undiff,Araliaceae,Araliaceae
Arbutus,arbutus,Arbutus,Ericales (tetrads)
Arbutus unedo,arbutus_unedo,Arbutus,Ericales (tetrads)
Arceuthobium oxycedri,arceuthobium_oxycedri,Arceuthobium oxycedri,Arceuthobium oxycedri
Arctium,arctium,Arctium,Cynareae
Arctium-type,arctium_type,Saussurea-type,Cynareae
Arctium/Jurinea,arctium_jurinea,Saussurea-type,Cynareae
Arctostaphylos,arctostaphylos,Arctostaphylos,Ericales (tetrads)
Arctostaphylos uva-ursi,arctostaphylos_uva_minus_ursi,Arctostaphylos uva-ursi,Ericales (tetrads)
Arctostaphylos uva-ursi-type,arctostaphylos_uva_minus_ursi_type,Arctostaphylos uva-ursi,Ericales (tetrads)
Arctous alpina,arctous_alpina,Arctostaphylos alpinus,Ericales (tetrads)
Arenaria,arenaria,Arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria-type,arenaria_type,Arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria biflora,arenaria_biflora,Arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
Arenaria serpyllifolia-type,arenaria_serpyllifolia_type,Arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
Armeria,armeria,Armeria-type,Plumbaginaceae
Armeria-type,armeria_type,Armeria-type,Plumbaginaceae
Armeria (type A),armeria_type_a,Armeria-type,Plumbaginaceae
Armeria (type B),armeria_type_b,Armeria-type,Plumbaginaceae
Armeria alliacea,armeria_alliacea,Armeria-type,Plumbaginaceae
Armeria maritima,armeria_maritima,Armeria-type,Plumbaginaceae
Armeria maritima (type A),armeria_maritima_type_a,Armeria-type,Plumbaginaceae
Armeria maritima (type B),armeria_maritima_type_b,Armeria-type,Plumbaginaceae
Armeria maritima subsp. elongata,armeria_maritima_subsp_elongata,Armeria-type,Plumbaginaceae
Armeria/Limonium,armeria_limonium,Armeria-type,Plumbaginaceae
Arnica,arnica,Bidens-type,Compositae subfam. Asteroideae
Arnica-type,arnica_type,Bidens-type,Compositae subfam. Asteroideae
Arnica montana,arnica_montana,Bidens-type,Compositae subfam. Asteroideae
Artemisia,artemisia,Artemisia,Artemisia
Artemisia-type,artemisia_type,Artemisia,Artemisia
Artemisia campestris,artemisia_campestris,Artemisia,Artemisia
Artemisia campestris-type,artemisia_campestris_type,Artemisia,Artemisia
Artemisia cf. A. norvegica,artemisia_cf_a_norvegica,Artemisia,Artemisia
Artemisia genipi/A. umbelliformis,artemisia_genipi_a_umbelliformis,Artemisia,Artemisia
Artemisia herba-alba-type,artemisia_herba_minus_alba_type,Artemisia,Artemisia
Artemisia norvegica,artemisia_norvegica,Artemisia,Artemisia
Artemisia norvegica-type,artemisia_norvegica_type,Artemisia,Artemisia
Artemisia rupestris,artemisia_rupestris,Artemisia,Artemisia
Artemisia sensu lato,artemisia_sensu_lato,Artemisia,Artemisia
Artemisia sensu stricto,artemisia_sensu_stricto,Artemisia,Artemisia
Artemisia undiff.,artemisia_undiff,Artemisia,Artemisia
Artemisia vulgaris,artemisia_vulgaris,Artemisia,Artemisia
Artemisia vulgaris-type,artemisia_vulgaris_type,Artemisia,Artemisia
Arum/Acorus,arum_acorus,Arum/Acorus,Arum/Acorus
Aruncus,aruncus,Aruncus/Spiraea,Aruncus/Spiraea
Aruncus-type,aruncus_type,Aruncus/Spiraea,Aruncus/Spiraea
Aruncus dioicus,aruncus_dioicus,Aruncus/Spiraea,Aruncus/Spiraea
Asarum europaeum,asarum_europaeum,Asarum europaeum,Aristolochiaceae
Asparagus,asparagus,Asparagus,Liliaceae-type
Asparagus acutifolius,asparagus_acutifolius,Asparagus acutifolius,Liliaceae-type
Asperula,asperula,Rubiaceae,Rubiaceae
Asphodeline,asphodeline,Asphodeline,Liliaceae-type
Asphodelus,asphodelus,Asphodelus,Liliaceae-type
Asphodelus-type,asphodelus_type,Asphodelus/Asphodeline,Liliaceae-type
Asphodelus albus,asphodelus_albus,Asphodelus albus-type,Liliaceae-type
Asphodelus albus-type,asphodelus_albus_type,Asphodelus albus-type,Liliaceae-type
Asphodelus fistulosus,asphodelus_fistulosus,Asphodelus fistulosus-type,Liliaceae-type
Aster,aster,Aster-type,Compositae subfam. Asteroideae
Aster-type,aster_type,Aster-type,Compositae subfam. Asteroideae
Aster/Achillea,aster_achillea,Compositae subfam. Asteroideae,Compositae subfam. Asteroideae
Aster/Achillea-type,aster_achillea_type,Compositae subfam. Asteroideae,Compositae subfam. Asteroideae
Asteraceae,asteraceae,Asteraceae,Asteraceae
Asteraceae (undiff.),asteraceae_undiff,Asteraceae,Asteraceae
Asteroideae,asteroideae,Compositae subfam. Asteroideae,Compositae subfam. Asteroideae
Asteroideae pro parte,asteroideae_pro_parte,Compositae subfam. Asteroideae,Compositae subfam. Asteroideae
Asteroideae undiff.,asteroideae_undiff,Compositae subfam. Asteroideae,Compositae subfam. Asteroideae
Astragalus,astragalus,Astragalus-type,Astragalus-type
Astragalus-type,astragalus_type,Astragalus-type,Astragalus-type
Astragalus alpinus,astragalus_alpinus,Astragalus-type,Astragalus-type
Astragalus alpinus-type,astragalus_alpinus_type,Astragalus-type,Astragalus-type
Astragalus cf. A. alpinus,astragalus_cf_a_alpinus,Astragalus-type,Astragalus-type
Astragalus cf. A. glycyphyllos,astragalus_cf_a_glycyphyllos,Astragalus-type,Astragalus-type
Astragalus danicus,astragalus_danicus,Astragalus-type,Astragalus-type
Astragalus frigidus,astragalus_frigidus,Astragalus-type,Astragalus-type
Astragalus undiff.,astragalus_undiff,Astragalus-type,Astragalus-type
Astragalus/Oxytropis-type,astragalus_oxytropis_type,Astragalus-type,Astragalus-type
Astrantia,astrantia,Astrantia-type,Apiaceae
Astrantia-type,astrantia_type,Astrantia-type,Apiaceae
Astrantia major,astrantia_major,Astrantia major,Apiaceae
Astrantia major-type,astrantia_major_type,Astrantia-type,Apiaceae
Astrantia minor,astrantia_minor,Astrantia-type,Apiaceae
Athamanta cretensis,athamanta_cretensis,Athamanta cretensis,Apiaceae
Atriplex,atriplex,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Atriplex calotheca,atriplex_calotheca,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Atriplex kuzenevae,atriplex_kuzenevae,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Atriplex nudicaulis,atriplex_nudicaulis,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Atriplex praecox,atriplex_praecox,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Atropa-type,atropa_type,Atropa-type,Atropa-type
Atropa belladonna,atropa_belladonna,Atropa,Atropa-type
Avena,avena,Avena-type,Poaceae
Avena-type,avena_type,Avena-type,Poaceae
Avena sativa,avena_sativa,Avena-type,Poaceae
Avena/Triticum,avena_triticum,Avena/Triticum-type,Poaceae
Avena/Triticum-type,avena_triticum_type,Avena/Triticum-type,Poaceae
Ballota,ballota,Ballota-type,Galeopsis/Ballota-type
Ballota-type,ballota_type,Ballota-type,Galeopsis/Ballota-type
Ballota group,ballota_group,Ballota-type,Galeopsis/Ballota-type
Balsaminaceae,balsaminaceae,Impatiens,Impatiens
Bambusa-type,bambusa_type,Poaceae,Poaceae
Barbarea-type,barbarea_type,Brassicaceae,Brassicaceae
Bartsia,bartsia,Rhinanthus-type,Rhinanthus-group
Bartsia-type,bartsia_type,Rhinanthus-type,Rhinanthus-group
Bassia laniflora,bassia_laniflora,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae
Bellidiastrum-type,bellidiastrum_type,Aster-type,Compositae subfam. Asteroideae
Bellidiastrum michelii,bellidiastrum_michelii,Aster-type,Compositae subfam. Asteroideae
Bellis,bellis,Aster-type,Compositae subfam. Asteroideae
Bellis-type,bellis_type,Aster-type,Compositae subfam. Asteroideae
Berberis,berberis,Berberis,Berberidaceae
Berberis vulgaris,berberis_vulgaris,Berberis,Berberidaceae
Berberis vulgaris-type,berberis_vulgaris_type,Berberis,Berberidaceae
Berula-type,berula_type,Sium-type,Apiaceae
Berula erecta,berula_erecta,Berula erecta,Apiaceae
Berula erecta-type,berula_erecta_type,Sium-type,Apiaceae
Betula,betula,Betula pubescens-type,Betula
Betula (hybrid),betula_hybrid,Betula pubescens-type,Betula
Betula (tree),betula_tree,Betula pubescens-type,Betula
Betula cf. B. nana,betula_cf_b_nana,Betula nana-type,Betula
Betula fruticosa,betula_fruticosa,Betula nana-type,Betula
Betula humilis,betula_humilis,Betula nana-type,Betula
Betula nana,betula_nana,Betula nana-type,Betula
Betula nana-type,betula_nana_type,Betula nana-type,Betula
Betula nana subsp. exilis,betula_nana_subsp_exilis,Betula nana-type,Betula
Betula pendula,betula_pendula,Betula pubescens-type,Betula
Betula pubescens,betula_pubescens,Betula pubescens-type,Betula
Betula pubescens-type,betula_pubescens_type,Betula pubescens-type,Betula
Betula pubescens var. pumila,betula_pubescens_var_pumila,Betula pubescens-type,Betula
Betula sect. Apterocaryon,betula_sect_apterocaryon,Betula nana-type,Betula
Betula sect. Betula,betula_sect_betula,Betula pubescens-type,Betula
Betula undiff.,betula_undiff,Betula,Betula
"Betula/Alnus/Corylus/Myrica (type 114, HdV)",betula_alnus_corylus_myrica_type_114_hd_v,Betulaceae,Betulaceae
Betula/Corylus/Myrica,betula_corylus_myrica,Betula/Corylus/Myrica,Betulaceae
Betulaceae,betulaceae,Betulaceae,Betulaceae
Bidens,bidens,Bidens-type,Compositae subfam. Asteroideae
Bidens-type,bidens_type,Bidens-type,Compositae subfam. Asteroideae
Bistorta,bistorta,Polygonum bistorta-type,Polygonum-type (tricolporate)
Bistorta officinalis,bistorta_officinalis,Polygonum bistorta,Polygonum-type (tricolporate)
Bistorta officinalis-type,bistorta_officinalis_type,Polygonum bistorta-type,Polygonum-type (tricolporate)
Bistorta officinalis/B. vivipara,bistorta_officinalis_b_vivipara,Polygonum bistorta-type,Polygonum-type (tricolporate)
Bistorta vivipara,bistorta_vivipara,Polygonum viviparum,Polygonum-type (tricolporate)
Bistorta vivipara-type,bistorta_vivipara_type,Polygonum bistorta-type,Polygonum-type (tricolporate)
Bituminaria bituminosa,bituminaria_bituminosa,Psoralea bituminosa,Psoralea bituminosa
Blackstonia,blackstonia,Blackstonia perfoliata,Gentianaceae
Blackstonia perfoliata-type,blackstonia_perfoliata_type,Blackstonia perfoliata,Gentianaceae
Boraginaceae,boraginaceae,Boraginaceae,Boraginaceae
Boraginaceae undiff.,boraginaceae_undiff,Boraginaceae,Boraginaceae
Borago,borago,Borago,Boraginaceae
Borago officinalis,borago_officinalis,Borago,Boraginaceae
Brassica,brassica,Brassicaceae,Brassicaceae
Brassica-type,brassica_type,Brassicaceae,Brassicaceae
Brassicaceae,brassicaceae,Brassicaceae,Brassicaceae
Brassicaceae-type,brassicaceae_type,Brassicaceae,Brassicaceae
Brassicaceae undiff.,brassicaceae_undiff,Brassicaceae,Brassicaceae
Bromus,bromus,Bromus,Poaceae
Bruckenthalia,bruckenthalia,Bruckenthalia spiculifolia,Bruckenthalia spiculifolia
Bruckenthalia-type,bruckenthalia_type,Bruckenthalia spiculifolia,Bruckenthalia spiculifolia
Bryonia,bryonia,Bryonia,Bryonia
Buglossoides arvensis,buglossoides_arvensis,Buglossoides arvensis,Boraginaceae
Bunium-type,bunium_type,Peucedanum-type,Apiaceae
Buphthalmum,buphthalmum,Senecio-type,Compositae subfam. Asteroideae
Bupleurum,bupleurum,Bupleurum,Apiaceae
Bupleurum-type,bupleurum_type,Apiaceae,Apiaceae
Bupleurum ranunculoides,bupleurum_ranunculoides,Bupleurum,Apiaceae
Buxus,buxus,Buxus,Buxus
Buxus sempervirens,buxus_sempervirens,Buxus,Buxus
Calendula,calendula,Calendula,Compositae subfam. Asteroideae
Calligonum,calligonum,Calligonum,Calligonum-type
Calluna,calluna,Calluna vulgaris,Ericales (tetrads)
Calluna vulgaris,calluna_vulgaris,Calluna vulgaris,Ericales (tetrads)
Calluna vulgaris-type,calluna_vulgaris_type,Calluna vulgaris,Ericales (tetrads)
Caltha-type,caltha_type,Caltha-type,Caltha-type
Calystegia,calystegia,Calystegia,Calystegia
Calystegia-type,calystegia_type,Calystegia,Calystegia
Calystegia sepium,calystegia_sepium,Calystegia,Calystegia
Calystegia sepium-type,calystegia_sepium_type,Calystegia,Calystegia
Campanula,campanula,Phyteuma-type,Campanulaceae
Campanula-type,campanula_type,Phyteuma-type,Campanulaceae
Campanula barbata,campanula_barbata,Campanula trachelium-type,Campanulaceae
Campanula rapunculoides,campanula_rapunculoides,Campanula trachelium-type,Campanulaceae
Campanula rotundifolia,campanula_rotundifolia,Phyteuma-type,Campanulaceae
Campanula trachelium-type,campanula_trachelium_type,Campanula trachelium-type,Campanulaceae
Campanula/Jasione,campanula_jasione,Campanulaceae,Campanulaceae
Campanulaceae,campanulaceae,Campanulaceae,Campanulaceae
Campanulaceae undiff.,campanulaceae_undiff,Campanulaceae,Campanulaceae
Cannabaceae,cannabaceae,Cannabis/Humulus,Cannabis/Humulus
Cannabaceae-type,cannabaceae_type,Cannabis/Humulus,Cannabis/Humulus
Cannabaceae cf. Cannabis sativa,cannabaceae_cf_cannabis_sativa,Cannabis/Humulus,Cannabis/Humulus
Cannabaceae sensu stricto,cannabaceae_sensu_stricto,Cannabis/Humulus,Cannabis/Humulus
Cannabaceae undiff.,cannabaceae_undiff,Cannabis/Humulus,Cannabis/Humulus
Cannabis,cannabis,Cannabis sativa,Cannabis/Humulus
Cannabis-type,cannabis_type,Cannabis sativa,Cannabis/Humulus
Cannabis sativa,cannabis_sativa,Cannabis sativa,Cannabis/Humulus
Cannabis sativa-type,cannabis_sativa_type,Cannabis sativa,Cannabis/Humulus
Caprifoliaceae,caprifoliaceae,Caprifoliaceae,Caprifoliaceae
Capsella-type,capsella_type,Brassicaceae,Brassicaceae
Cardamine,cardamine,Brassicaceae,Brassicaceae
Cardamine-type,cardamine_type,Brassicaceae,Brassicaceae
Cardamine pratensis-type,cardamine_pratensis_type,Brassicaceae,Brassicaceae
Cardueae,cardueae,Cynareae,Cynareae
Carduoideae,carduoideae,Cynareae,Cynareae
Carduus,carduus,Carduus,Cynareae
Carduus-type,carduus_type,Carduus-type,Cynareae
Carex,carex,Carex,Cyperaceae
Carex-type,carex_type,Carex,Cyperaceae
Carex hirta-type,carex_hirta_type,Carex,Cyperaceae
Carlina,carlina,Carlina,Cynareae
Carlina acaulis,carlina_acaulis,Carlina acaulis,Cynareae
Carpinus,carpinus,Carpinus betulus,Carpinus betulus
Carpinus-type,carpinus_type,Carpinus betulus,Carpinus betulus
Carpinus betulus,carpinus_betulus,Carpinus betulus,Carpinus betulus
Carpinus betulus-type,carpinus_betulus_type,Carpinus betulus,Carpinus betulus
Carpinus orientalis,carpinus_orientalis,Ostrya/Carpinus orientalis,Ostrya/Carpinus orientalis
Carthamus,carthamus,Carthamus-type,Cynareae
Carthamus-type,carthamus_type,Carduncellus-type,Cynareae
Carum,carum,Apiaceae,Apiaceae
Carum-type,carum_type,Apiaceae,Apiaceae
Carum carvi,carum_carvi,Carum carvi,Apiaceae
Carum carvi-type,carum_carvi_type,Carum carvi,Apiaceae
Carum verticillatum,carum_verticillatum,Carum verticillatum,Apiaceae
Carya,carya,Carya,Carya
Carya tomentosa,carya_tomentosa,Carya,Carya
Caryophyllaceae,caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae),Caryophyllaceae (periporate excl. Paronychioideae)
"Caryophyllaceae (periporate, excluding Paronychioideae)",caryophyllaceae_periporate_excluding_paronychioideae,Caryophyllaceae (periporate excl. Paronychioideae),Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae cf. Silene latifolia subsp. alba,caryophyllaceae_cf_silene_latifolia_subsp_alba,Caryophyllaceae (periporate excl. Paronychioideae),Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae pro parte,caryophyllaceae_pro_parte,Caryophyllaceae (periporate excl. Paronychioideae),Caryophyllaceae (periporate excl. Paronychioideae)
Caryophyllaceae undiff.,caryophyllaceae_undiff,Caryophyllaceae (periporate excl. Paronychioideae),Caryophyllaceae (periporate excl. Paronychioideae)
Castanea,castanea,Castanea sativa,Castanea sativa
Castanea-type,castanea_type,Castanea sativa,Castanea sativa
Castanea sativa,castanea_sativa,Castanea sativa,Castanea sativa
Caucalis platycarpos,caucalis_platycarpos,Caucalis platycarpos,Apiaceae
Cedrus,cedrus,Cedrus,Cedrus
Cedrus-type,cedrus_type,Cedrus,Cedrus
Celastraceae,celastraceae,Celastraceae,Celastraceae
Celtis,celtis,Celtis,Celtis
Celtis-type,celtis_type,Celtis,Celtis
Celtis australis,celtis_australis,Celtis,Celtis
Centaurea,centaurea,Centaurea,Centaurea
Centaurea-type,centaurea_type,Centaurea,Centaurea
Centaurea cf. C. cyanus,centaurea_cf_c_cyanus,Centaurea cyanus-type,Centaurea cyanus-type
Centaurea cf. C. cyanus-type,centaurea_cf_c_cyanus_type,Centaurea cyanus-type,Centaurea cyanus-type
Centaurea cf. C. nigra-type,centaurea_cf_c_nigra_type,Centaurea nigra-type,Centaurea nigra-type
Centaurea cf. C. scabiosa-type,centaurea_cf_c_scabiosa_type,Centaurea scabiosa-type,Centaurea scabiosa-type
Centaurea collina,centaurea_collina,Centaurea scabiosa-type,Centaurea scabiosa-type
Centaurea collina-type,centaurea_collina_type,Centaurea scabiosa-type,Centaurea scabiosa-type
Centaurea cyanus,centaurea_cyanus,Centaurea cyanus-type,Centaurea cyanus-type
Centaurea cyanus-type,centaurea_cyanus_type,Centaurea cyanus-type,Centaurea cyanus-type
Centaurea depressa-type,centaurea_depressa_type,Centaurea cyanus-type,Centaurea cyanus-type
Centaurea jacea,centaurea_jacea,Centaurea nigra-type,Centaurea nigra-type
Centaurea jacea-type,centaurea_jacea_type,Centaurea nigra-type,Centaurea nigra-type
Centaurea montana,centaurea_montana,Centaurea montana-type,Centaurea cyanus-type
Centaurea montana-type,centaurea_montana_type,Centaurea montana-type,Centaurea cyanus-type
Centaurea montana/Cyanus triumfettii,centaurea_montana_cyanus_triumfettii,Centaurea montana-type,Centaurea cyanus-type
Centaurea nigra,centaurea_nigra,Centaurea nigra-type,Centaurea nigra-type
Centaurea nigra-type,centaurea_nigra_type,Centaurea nigra-type,Centaurea nigra-type
